dataset,model,label,accuracy,f1,recall,precision
Adiac,isolation-forest,1.0,0.9667519181585678,0.3157894736842105,0.25,0.42857142857142855
Adiac,isolation-forest,2.0,0.8951406649616368,0.2807017543859649,0.18181818181818182,0.6153846153846154
Adiac,isolation-forest,3.0,0.9437340153452686,0.5599999999999999,0.4,0.9333333333333333
Adiac,isolation-forest,4.0,0.9923273657289002,0.6666666666666666,1.0,0.5
Adiac,isolation-forest,5.0,0.11253196930946291,0.07957559681697611,0.04155124653739612,0.9375
Adiac,isolation-forest,6.0,0.20971867007672634,0.006430868167202571,0.0033003300330033004,0.125
Adiac,isolation-forest,7.0,0.9130434782608695,0.29166666666666663,0.18421052631578946,0.7
Adiac,isolation-forest,8.0,0.8721227621483376,0.16666666666666669,0.10416666666666667,0.4166666666666667
Adiac,isolation-forest,9.0,0.989769820971867,0.7777777777777778,1.0,0.6363636363636364
Adiac,isolation-forest,10.0,0.9514066496163683,0.42424242424242425,0.2916666666666667,0.7777777777777778
Adiac,isolation-forest,11.0,0.7007672634271099,0.064,0.034782608695652174,0.4
Adiac,isolation-forest,12.0,0.9820971867007673,0.6666666666666666,1.0,0.5
Adiac,isolation-forest,13.0,0.9309462915601023,0.4705882352941177,0.32432432432432434,0.8571428571428571
Adiac,isolation-forest,14.0,0.8797953964194374,0.25396825396825395,0.14814814814814814,0.8888888888888888
Adiac,isolation-forest,15.0,0.9232736572890026,0.34782608695652173,0.21621621621621623,0.8888888888888888
Adiac,isolation-forest,16.0,0.9539641943734015,0.4,0.3,0.6
Adiac,isolation-forest,17.0,0.9948849104859335,0.8750000000000001,1.0,0.7777777777777778
Adiac,isolation-forest,18.0,0.8132992327365729,0.19780219780219782,0.11538461538461539,0.6923076923076923
Adiac,isolation-forest,19.0,0.7519181585677749,0.11009174311926606,0.061855670103092786,0.5
Adiac,isolation-forest,20.0,0.9335038363171355,0.2777777777777778,0.20833333333333334,0.4166666666666667
Adiac,isolation-forest,21.0,0.9539641943734015,0.4375,0.35,0.5833333333333334
Adiac,isolation-forest,22.0,0.618925831202046,0.08588957055214724,0.0457516339869281,0.7
Adiac,isolation-forest,23.0,0.8337595907928389,0.17721518987341772,0.10294117647058823,0.6363636363636364
Adiac,isolation-forest,24.0,0.9846547314578005,0.5714285714285715,0.6666666666666666,0.5
Adiac,isolation-forest,25.0,0.8618925831202046,0.30769230769230765,0.1935483870967742,0.75
Adiac,isolation-forest,26.0,0.7723785166240409,0.15238095238095237,0.0851063829787234,0.7272727272727273
Adiac,isolation-forest,27.0,0.959079283887468,0.3333333333333333,0.23529411764705882,0.5714285714285714
Adiac,isolation-forest,28.0,0.8363171355498721,0.11111111111111112,0.06153846153846154,0.5714285714285714
Adiac,isolation-forest,29.0,0.9769820971867008,0.5263157894736842,0.625,0.45454545454545453
Adiac,isolation-forest,30.0,0.6138107416879796,0.050314465408805034,0.02631578947368421,0.5714285714285714
Adiac,isolation-forest,31.0,0.8337595907928389,0.05797101449275362,0.034482758620689655,0.18181818181818182
