dataset,model,label,accuracy,f1,recall,precision
Adiac,ocsvm,1.0,0.9718670076726342,0.3529411764705882,0.3,0.42857142857142855
Adiac,ocsvm,2.0,0.9744245524296675,0.4444444444444444,0.8,0.3076923076923077
Adiac,ocsvm,3.0,0.9846547314578005,0.8000000000000002,0.8,0.8
Adiac,ocsvm,4.0,0.989769820971867,0.5,1.0,0.3333333333333333
Adiac,ocsvm,5.0,0.9565217391304348,0.10526315789473684,0.3333333333333333,0.0625
Adiac,ocsvm,6.0,0.7723785166240409,0.0,0.0,0.0
Adiac,ocsvm,7.0,0.969309462915601,0.5384615384615384,0.4375,0.7
Adiac,ocsvm,8.0,0.9616368286445013,0.34782608695652173,0.36363636363636365,0.3333333333333333
Adiac,ocsvm,9.0,0.979539641943734,0.42857142857142855,1.0,0.2727272727272727
Adiac,ocsvm,10.0,0.9718670076726342,0.5217391304347826,0.42857142857142855,0.6666666666666666
Adiac,ocsvm,11.0,0.9718670076726342,0.3529411764705882,0.42857142857142855,0.3
Adiac,ocsvm,12.0,0.9744245524296675,0.4444444444444445,1.0,0.2857142857142857
Adiac,ocsvm,13.0,0.979539641943734,0.7333333333333334,0.6875,0.7857142857142857
Adiac,ocsvm,14.0,0.8567774936061381,0.1764705882352941,0.1016949152542373,0.6666666666666666
Adiac,ocsvm,15.0,0.8516624040920716,0.14705882352941177,0.0847457627118644,0.5555555555555556
Adiac,ocsvm,16.0,0.9718670076726342,0.5217391304347826,0.46153846153846156,0.6
Adiac,ocsvm,17.0,0.9872122762148338,0.6153846153846153,1.0,0.4444444444444444
Adiac,ocsvm,18.0,0.8721227621483376,0.24242424242424243,0.1509433962264151,0.6153846153846154
Adiac,ocsvm,19.0,0.9232736572890026,0.21052631578947367,0.15384615384615385,0.3333333333333333
Adiac,ocsvm,20.0,0.959079283887468,0.3333333333333333,0.3333333333333333,0.3333333333333333
Adiac,ocsvm,21.0,0.9514066496163683,0.4242424242424242,0.3333333333333333,0.5833333333333334
Adiac,ocsvm,22.0,0.9258312020460358,0.25641025641025644,0.1724137931034483,0.5
Adiac,ocsvm,23.0,0.8593350383631714,0.15384615384615383,0.09259259259259259,0.45454545454545453
