dataset,model,label,accuracy,f1,recall,precision
Adiac,dagmm,1.0,0.017902813299232736,0.0,0.0,0.0
Adiac,dagmm,2.0,0.03324808184143223,0.0,0.0,0.0
Adiac,dagmm,3.0,0.9616368286445013,0.9797505421862126,1.0,0.9616368286445013
Adiac,dagmm,4.0,0.9846547314578005,0.9920798613975746,1.0,0.9846547314578005
Adiac,dagmm,5.0,0.04092071611253197,0.0,0.0,0.0
Adiac,dagmm,6.0,0.08184143222506395,0.13036879848183724,0.0731457800511509,0.682011935208866
Adiac,dagmm,7.0,0.9335038363171355,0.9581398782853086,0.959079283887468,0.9744245524296675
Adiac,dagmm,8.0,0.9053708439897699,0.9373947240363181,0.9352088661551577,0.968146942571495
Adiac,dagmm,9.0,0.1636828644501279,0.26746582527821394,0.17025940811107051,0.83614663256607
Adiac,dagmm,10.0,0.023017902813299233,0.0,0.0,0.0
Adiac,dagmm,11.0,0.35805626598465473,0.47491663258966277,0.3557422969187676,0.9259529898916089
Adiac,dagmm,12.0,0.03580562659846547,0.0,0.0,0.0
Adiac,dagmm,13.0,0.9514066496163683,0.9734046533553803,0.9872122762148338,0.9641943734015346
Adiac,dagmm,14.0,0.4782608695652174,0.6037564717245764,0.4843989769820971,0.9690252912759307
Adiac,dagmm,15.0,0.023017902813299233,0.0,0.0,0.0
Adiac,dagmm,16.0,0.8337595907928389,0.8825176593235138,0.8553675650862351,0.969394714407502
Adiac,dagmm,17.0,0.18414322250639387,0.2965936474023673,0.18981853611009625,0.9075873827791988
Adiac,dagmm,18.0,0.9462915601023018,0.96670038277394,0.9754475703324808,0.9658506881013276
Adiac,dagmm,19.0,0.4731457800511509,0.5948549835293516,0.48934356351236147,0.9475850094775925
Adiac,dagmm,20.0,0.969309462915601,0.9837106114874253,1.0,0.969309462915601
Adiac,dagmm,21.0,0.030690537084398978,0.0,0.0,0.0
Adiac,dagmm,22.0,0.28388746803069054,0.401914731773077,0.2670563877725003,0.9309462915601023
Adiac,dagmm,23.0,0.9002557544757033,0.9317272027415762,0.9242966751918158,0.9744245524296675
Adiac,dagmm,24.0,0.979539641943734,0.9893518136567391,1.0,0.979539641943734
Adiac,dagmm,25.0,0.7416879795396419,0.8072199798153951,0.7596882231153332,0.9658750456704422
Adiac,dagmm,26.0,0.9539641943734015,0.9717435055113467,0.9781756180733163,0.9744245524296675
Adiac,dagmm,27.0,0.9820971867007673,0.9906718367571434,1.0,0.9820971867007673
Adiac,dagmm,28.0,0.9820971867007673,0.9907598382971703,1.0,0.9820971867007673
Adiac,dagmm,29.0,0.9718670076726342,0.9853037428154994,1.0,0.9718670076726342
Adiac,dagmm,30.0,0.017902813299232736,0.0,0.0,0.0
Adiac,dagmm,31.0,0.8951406649616368,0.9171762595628705,0.9101205699671173,0.9602728047740836
Adiac,dagmm,32.0,0.017902813299232736,0.0,0.0,0.0
Adiac,dagmm,33.0,0.017902813299232736,0.0,0.0,0.0
Adiac,dagmm,34.0,0.028132992327365727,0.0,0.0,0.0
Adiac,dagmm,35.0,0.02557544757033248,0.0,0.0,0.0
Adiac,dagmm,36.0,0.9130434782608695,0.9450110410825501,0.948849104859335,0.9641943734015346
Adiac,dagmm,37.0,0.9130434782608695,0.9365886045862947,0.9391304347826087,0.9718670076726342
ArrowHead,dagmm,0.0,0.36,0.057049127343245,0.031168831168831172,0.4057142857142857
ArrowHead,dagmm,1.0,0.5142857142857142,0.49983372016454714,0.45561904761904765,0.6774603174603174
ArrowHead,dagmm,2.0,0.34285714285714286,0.1208983242419775,0.06857142857142857,0.5485714285714286
Beef,dagmm,1.0,0.13333333333333333,0.0,0.0,0.0
Beef,dagmm,2.0,0.5333333333333333,0.6902564102564103,0.7333333333333333,0.8
Beef,dagmm,3.0,0.8,0.8879120879120879,1.0,0.8
Beef,dagmm,4.0,0.2,0.0,0.0,0.0
Beef,dagmm,5.0,0.6333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
BeetleFly,dagmm,1.0,0.55,0.3555555555555555,0.26666666666666666,0.5333333333333333
BeetleFly,dagmm,2.0,0.45,0.0,0.0,0.0
BirdChicken,dagmm,1.0,0.5,0.4,0.4,0.4
BirdChicken,dagmm,2.0,0.5,0.13333333333333336,0.08,0.4
Car,dagmm,1.0,0.7666666666666667,0.8603831417624522,1.0,0.7666666666666667
Car,dagmm,2.0,0.48333333333333334,0.5105096073517126,0.35341991341991347,0.9466666666666667
Car,dagmm,3.0,0.35,0.33888464476699764,0.2476767676767677,0.6142857142857143
Car,dagmm,4.0,0.21666666666666667,0.0,0.0,0.0
CBF,dagmm,1.0,0.45666666666666667,0.36733471138424684,0.2472453472453473,0.7902222222222223
CBF,dagmm,2.0,0.3422222222222222,0.2510237794159364,0.17089838556505224,0.549079365079365
CBF,dagmm,3.0,0.4533333333333333,0.4410536150192452,0.34974062974062975,0.6566826753493422
ChlorineConcentration,dagmm,1.0,0.23072916666666668,0.0,0.0,0.0
ChlorineConcentration,dagmm,2.0,0.37213541666666666,0.35806635819890437,0.24020283535908551,0.7845089285714287
ChlorineConcentration,dagmm,3.0,0.5192708333333333,0.3071896781194381,0.24992312086062102,0.46298115079365076
CinCECGTorso,dagmm,1.0,0.5057971014492754,0.5920483852369347,0.5432035275513538,0.7045995550343375
CinCECGTorso,dagmm,2.0,0.23695652173913043,0.09834321404653891,0.05842942886421144,0.36521739130434777
CinCECGTorso,dagmm,3.0,0.23768115942028986,0.14403130638424758,0.09078785948351163,0.4378743961352657
CinCECGTorso,dagmm,4.0,0.23768115942028986,0.204208975890225,0.13868913695000645,0.4478904991948471
Coffee,dagmm,0.0,0.5357142857142857,0.0,0.0,0.0
Coffee,dagmm,1.0,0.5,0.3478260869565217,0.26666666666666666,0.5
Computers,dagmm,1.0,0.476,0.09725765393876849,0.056,0.424
Computers,dagmm,2.0,0.512,0.10768379772961817,0.06184615384615385,0.448
CricketX,dagmm,1.0,0.25384615384615383,0.341905744754042,0.2139306846999155,0.9135042735042737
CricketX,dagmm,2.0,0.29743589743589743,0.40918938198249005,0.28131492439184747,0.8294831094831094
CricketX,dagmm,3.0,0.07948717948717948,0.0,0.0,0.0
CricketX,dagmm,4.0,0.07692307692307693,0.0,0.0,0.0
CricketX,dagmm,5.0,0.18461538461538463,0.19798924158057285,0.11532262609185687,0.8341880341880343
CricketX,dagmm,6.0,0.07948717948717948,0.0,0.0,0.0
CricketX,dagmm,7.0,0.3487179487179487,0.4506479355193508,0.3291199398891707,0.911990231990232
CricketX,dagmm,8.0,0.20256410256410257,0.2459827295740609,0.1465182680567296,0.8430769230769233
CricketX,dagmm,9.0,0.2846153846153846,0.3664615627463924,0.23943270404808867,0.8437606837606839
CricketX,dagmm,10.0,0.3128205128205128,0.41812300871232083,0.2913749498364883,0.829059829059829
CricketX,dagmm,11.0,0.258974358974359,0.35004807619156786,0.22775617544848314,0.8635897435897436
CricketX,dagmm,12.0,0.2,0.23750463044580689,0.14397670705363014,0.8136752136752137
CricketY,dagmm,1.0,0.33076923076923076,0.43473205655464364,0.3012191227575843,0.8755718355718356
CricketY,dagmm,2.0,0.07948717948717948,0.0,0.0,0.0
CricketY,dagmm,3.0,0.3974358974358974,0.5192995628930479,0.37199962430731653,0.9216605616605618
CricketY,dagmm,4.0,0.31794871794871793,0.4393948040263829,0.3080247957171034,0.8307692307692309
CricketY,dagmm,5.0,0.2641025641025641,0.348582819542572,0.22132243824551512,0.9333333333333333
CricketY,dagmm,6.0,0.32564102564102565,0.43051675855391025,0.29326758711374096,0.9066799866799866
CricketY,dagmm,7.0,0.13846153846153847,0.13712506505076164,0.07789987789987789,0.6564102564102564
CricketY,dagmm,8.0,0.08205128205128205,0.0,0.0,0.0
CricketY,dagmm,9.0,0.26153846153846155,0.3535555924410414,0.23505776275007043,0.7924786324786326
CricketY,dagmm,10.0,0.15897435897435896,0.17903940343568825,0.10690335305719921,0.6844444444444444
CricketY,dagmm,11.0,0.18461538461538463,0.20464252637627253,0.12002254156100312,0.8239316239316239
CricketY,dagmm,12.0,0.07948717948717948,0.0,0.0,0.0
CricketZ,dagmm,1.0,0.2153846153846154,0.25427404610067156,0.15495256879872263,0.8588034188034188
CricketZ,dagmm,2.0,0.2641025641025641,0.3514269953803176,0.22826318980165144,0.8523076923076924
CricketZ,dagmm,3.0,0.3,0.3597663981092748,0.2322831015138708,0.8923076923076925
CricketZ,dagmm,4.0,0.22564102564102564,0.2785640824030917,0.17298769606461917,0.8393162393162394
CricketZ,dagmm,5.0,0.1794871794871795,0.1994040909211188,0.11861745092514321,0.711111111111111
CricketZ,dagmm,6.0,0.17435897435897435,0.19046878130469466,0.10946745562130178,0.8205128205128205
CricketZ,dagmm,7.0,0.1794871794871795,0.2289490903247802,0.13657368272752893,0.8307692307692308
CricketZ,dagmm,8.0,0.25384615384615383,0.3465222909185757,0.224504555273786,0.8933333333333334
CricketZ,dagmm,9.0,0.36153846153846153,0.467819730779483,0.3262289846905232,0.9161904761904762
CricketZ,dagmm,10.0,0.23333333333333334,0.284541597606613,0.17468582699351937,0.8837606837606838
CricketZ,dagmm,11.0,0.08205128205128205,0.0,0.0,0.0
CricketZ,dagmm,12.0,0.18717948717948718,0.24111384544821077,0.1451019066403682,0.8307692307692308
DiatomSizeReduction,dagmm,1.0,0.10784313725490197,0.0,0.0,0.0
DiatomSizeReduction,dagmm,2.0,0.3006535947712418,0.0,0.0,0.0
DiatomSizeReduction,dagmm,3.0,0.30718954248366015,0.0,0.0,0.0
DiatomSizeReduction,dagmm,4.0,0.28431372549019607,0.0,0.0,0.0
DistalPhalanxOutlineAgeGroup,dagmm,1.0,0.33093525179856115,0.43104462721382997,0.3536880385801249,0.8369989722507708
DistalPhalanxOutlineAgeGroup,dagmm,2.0,0.4244604316546763,0.0,0.0,0.0
DistalPhalanxOutlineAgeGroup,dagmm,3.0,0.4676258992805755,0.0,0.0,0.0
DistalPhalanxOutlineCorrect,dagmm,0.0,0.34782608695652173,0.09629912571089043,0.06641217075999685,0.19420289855072465
DistalPhalanxOutlineCorrect,dagmm,1.0,0.5833333333333334,0.0,0.0,0.0
DistalPhalanxTW,dagmm,3.0,0.41007194244604317,0.4840063518659043,0.3768413840356286,0.8872901678657075
DistalPhalanxTW,dagmm,4.0,0.34532374100719426,0.4498367129946077,0.32431022215194877,0.8048646796848234
DistalPhalanxTW,dagmm,5.0,0.2805755395683453,0.0,0.0,0.0
DistalPhalanxTW,dagmm,6.0,0.30935251798561153,0.3711446873528973,0.25766990802962025,0.8432526705908
DistalPhalanxTW,dagmm,7.0,0.05755395683453238,0.0,0.0,0.0
DistalPhalanxTW,dagmm,8.0,0.6762589928057554,0.7681619858175084,0.9311408016443988,0.7050359712230215
Earthquakes,dagmm,0.0,0.7194244604316546,0.3086673518328194,0.257673860911271,0.4136690647482014
Earthquakes,dagmm,1.0,0.302158273381295,0.11407489393100906,0.06380190552852423,0.5755395683453237
ECG200,dagmm,-1.0,0.28,0.06704761904761905,0.04018648018648019,0.21333333333333332
ECG200,dagmm,1.0,0.64,0.0,0.0,0.0
ECG5000,dagmm,1.0,0.5837777777777777,0.0,0.0,0.0
ECG5000,dagmm,2.0,0.35333333333333333,0.0,0.0,0.0
ECG5000,dagmm,3.0,0.15644444444444444,0.23548060140962662,0.14556619676619692,0.8362864197530864
ECG5000,dagmm,4.0,0.03888888888888889,0.0,0.0,0.0
ECG5000,dagmm,5.0,0.004888888888888889,0.0,0.0,0.0
ECGFiveDays,dagmm,1.0,0.48548199767711964,0.29416298632326504,0.2279824962751792,0.4745644599303135
ECGFiveDays,dagmm,2.0,0.521486643437863,0.218213455147253,0.14354704851220532,0.5727835849787069
ElectricDevices,dagmm,1.0,0.19673194138244066,0.1943621820817129,0.12509012623135304,0.6315517102963609
ElectricDevices,dagmm,2.0,0.3120217870574504,0.1504419771728788,0.08742132375902315,0.6606665802100894
ElectricDevices,dagmm,3.0,0.09791207366100375,0.0,0.0,0.0
ElectricDevices,dagmm,4.0,0.15108286862923098,0.0,0.0,0.0
ElectricDevices,dagmm,5.0,0.2677992478277785,0.13349191292188198,0.07995098893815014,0.5848009337310336
ElectricDevices,dagmm,6.0,0.1797432239657632,0.1745078990073648,0.10299793723474181,0.7446072709981412
ElectricDevices,dagmm,7.0,0.18129944235507717,0.20133535445125728,0.11892434716971094,0.8259110361820776
FaceAll,dagmm,1.0,0.2,0.2716323551398793,0.17159763313609466,0.8821827744904668
FaceAll,dagmm,2.0,0.2076923076923077,0.23116796974382078,0.14218089602704986,0.8133558748943364
FaceAll,dagmm,3.0,0.26331360946745563,0.31230507681166947,0.21143984220907297,0.8816568047337278
FaceAll,dagmm,4.0,0.14201183431952663,0.13579929001696073,0.07692307692307693,0.6875739644970414
FaceAll,dagmm,5.0,0.2195266272189349,0.253056172043094,0.15520337650515165,0.865483234714004
FaceAll,dagmm,6.0,0.11715976331360947,0.07678832770521259,0.042011834319526625,0.5207100591715976
FaceAll,dagmm,7.0,0.13609467455621302,0.1465655447920375,0.08461538461538462,0.7207100591715976
FaceAll,dagmm,8.0,0.18698224852071005,0.11607107401344112,0.06710059171597633,0.5992110453648914
FaceAll,dagmm,9.0,0.22130177514792898,0.2727781726529091,0.17472527472527472,0.8280078895463512
FaceAll,dagmm,10.0,0.17988165680473372,0.22445780204128438,0.13696252465483236,0.8315581854043392
FaceAll,dagmm,11.0,0.24615384615384617,0.3691824791679588,0.24970414201183433,0.9283178360101437
FaceAll,dagmm,12.0,0.2378698224852071,0.3166713676566014,0.2153714661406969,0.8714003944773177
FaceAll,dagmm,13.0,0.34911242603550297,0.3087584547477607,0.20670611439842207,0.7980276134122288
FaceAll,dagmm,14.0,0.047337278106508875,0.05618594577870593,0.03017751479289941,0.43550295857988164
FaceFour,dagmm,1.0,0.6136363636363636,0.7207565286034185,0.6578088578088578,0.8531468531468532
FaceFour,dagmm,2.0,0.3181818181818182,0.2677570107910665,0.19672045126590582,0.4924242424242424
FaceFour,dagmm,3.0,0.29545454545454547,0.0,0.0,0.0
FaceFour,dagmm,4.0,0.5113636363636364,0.575780183998591,0.4818237318237318,0.7614219114219114
FacesUCR,dagmm,1.0,0.6882926829268292,0.785108773333364,0.705875815241669,0.9640047432242554
FacesUCR,dagmm,2.0,0.1278048780487805,0.13892790911170416,0.0796769409452336,0.6491056910569106
FacesUCR,dagmm,3.0,0.34536585365853656,0.46781276588840714,0.33092338555753187,0.8786465350367789
