dataset,model,label,accuracy,f1,recall,precision
Adiac,resoc,1.0,0.8721227621483376,0.027280477408354646,0.020460358056265986,0.04092071611253197
Adiac,resoc,2.0,0.6624040920716112,0.0,0.0,0.0
Adiac,resoc,3.0,0.8823529411764706,0.07774936061381074,0.08184143222506393,0.09548167092924124
Adiac,resoc,4.0,0.6035805626598465,0.0,0.0,0.0
Adiac,resoc,5.0,0.4782608695652174,0.03215789609651502,0.01903138066820931,0.12276214833759591
Adiac,resoc,6.0,0.5345268542199488,0.018414322250639385,0.01039256282223034,0.08184143222506395
Adiac,resoc,7.0,0.47058823529411764,0.0,0.0,0.0
Adiac,resoc,8.0,0.7672634271099744,0.0,0.0,0.0
Adiac,resoc,9.0,0.9744245524296675,0.027280477408354646,0.04092071611253197,0.020460358056265986
Adiac,resoc,10.0,0.5626598465473146,0.0,0.0,0.0
Adiac,resoc,11.0,0.7033248081841432,0.010230179028132993,0.005845816587504567,0.04092071611253197
Adiac,resoc,12.0,0.8746803069053708,0.020460358056265986,0.020460358056265986,0.020460358056265986
Adiac,resoc,13.0,0.21994884910485935,0.02967876113656165,0.016787986097449012,0.1432225063938619
Adiac,resoc,14.0,0.5907928388746803,0.021921812203142127,0.013640238704177323,0.061381074168797956
Adiac,resoc,15.0,0.9104859335038363,0.0,0.0,0.0
Adiac,resoc,16.0,0.5242966751918159,0.0,0.0,0.0
Adiac,resoc,17.0,0.5345268542199488,0.020460358056265986,0.011691633175009134,0.08184143222506395
Adiac,resoc,18.0,0.7084398976982097,0.01636828644501279,0.013640238704177323,0.020460358056265986
Adiac,resoc,19.0,0.9667519181585678,0.15004262574595054,0.1432225063938619,0.1636828644501279
Adiac,resoc,20.0,0.7698209718670077,0.030008525149190113,0.021824381926683716,0.061381074168797956
Adiac,resoc,21.0,0.7365728900255755,0.0,0.0,0.0
Adiac,resoc,22.0,0.7698209718670077,0.036828644501278776,0.0341005967604433,0.04092071611253197
Adiac,resoc,23.0,0.59846547314578,0.013640238704177323,0.010230179028132993,0.020460358056265986
Adiac,resoc,24.0,0.36828644501278773,0.0,0.0,0.0
Adiac,resoc,25.0,0.7416879795396419,0.0,0.0,0.0
Adiac,resoc,26.0,0.7595907928388747,0.01636828644501279,0.010230179028132993,0.04092071611253197
Adiac,resoc,27.0,0.887468030690537,0.0,0.0,0.0
Adiac,resoc,28.0,0.24040920716112532,0.015624273424784934,0.008638817845978971,0.08184143222506395
Adiac,resoc,29.0,0.8209718670076727,0.020460358056265986,0.020460358056265986,0.020460358056265986
Adiac,resoc,30.0,0.7851662404092071,0.01636828644501279,0.010230179028132993,0.04092071611253197
Adiac,resoc,31.0,0.4322250639386189,0.0,0.0,0.0
Adiac,resoc,32.0,0.59846547314578,0.0,0.0,0.0
Adiac,resoc,33.0,0.8618925831202046,0.0,0.0,0.0
Adiac,resoc,34.0,0.4961636828644501,0.0,0.0,0.0
Adiac,resoc,35.0,0.9053708439897699,0.07246376811594203,0.0792838874680307,0.0792838874680307
Adiac,resoc,36.0,0.9360613810741688,0.04092071611253197,0.04092071611253197,0.04092071611253197
Adiac,resoc,37.0,0.6035805626598465,0.024552429667519186,0.015345268542199489,0.061381074168797956
ArrowHead,resoc,0.0,0.4742857142857143,0.1426499582289056,0.4022857142857143,0.09942857142857142
ArrowHead,resoc,1.0,0.5828571428571429,0.1146073976149164,0.2895238095238095,0.07231168831168833
ArrowHead,resoc,2.0,0.4857142857142857,0.09974603174603175,0.26857142857142857,0.06285714285714286
Beef,resoc,1.0,0.8333333333333334,0.15238095238095237,0.5333333333333333,0.08888888888888888
Beef,resoc,2.0,0.7666666666666667,0.13333333333333333,0.26666666666666666,0.08888888888888888
Beef,resoc,3.0,0.8333333333333334,0.31111111111111106,0.4666666666666667,0.23333333333333334
Beef,resoc,4.0,0.8666666666666667,0.23333333333333334,0.4666666666666667,0.15555555555555553
Beef,resoc,5.0,0.6333333333333333,0.11666666666666667,0.23333333333333334,0.07777777777777777
BeetleFly,resoc,1.0,0.6,0.2666666666666667,0.8,0.16
BeetleFly,resoc,2.0,0.5,0.0,0.0,0.0
BirdChicken,resoc,1.0,0.45,0.0,0.0,0.0
BirdChicken,resoc,2.0,0.6,0.13333333333333333,0.2,0.1
Car,resoc,1.0,0.4666666666666667,0.0,0.0,0.0
Car,resoc,2.0,0.65,0.0,0.0,0.0
Car,resoc,3.0,0.6833333333333333,0.0,0.0,0.0
Car,resoc,4.0,0.45,0.27515151515151515,0.19833333333333333,0.5
CBF,resoc,1.0,0.6933333333333334,0.14352028218694884,0.3496296296296296,0.09496296296296299
CBF,resoc,2.0,0.49,0.05645189378522711,0.07293121693121694,0.0484021164021164
CBF,resoc,3.0,0.5044444444444445,0.3174586894586893,0.29891261824595156,0.3716190476190476
ChlorineConcentration,resoc,1.0,0.44375,0.3127738242937547,0.22698284354534365,0.5926190476190475
ChlorineConcentration,resoc,2.0,0.50625,0.2795700058383882,0.22385972823472824,0.446671626984127
ChlorineConcentration,resoc,3.0,0.45234375,0.38789913557231703,0.47745595839345845,0.3569266034891039
CinCECGTorso,resoc,1.0,0.7072463768115942,0.17105129974695193,0.30714975845410625,0.13619047619047617
CinCECGTorso,resoc,2.0,0.6166666666666667,0.0986803856369074,0.12350586611456178,0.09654934437543133
CinCECGTorso,resoc,3.0,0.6079710144927536,0.23172463607246205,0.22048769266160562,0.28229123533471356
CinCECGTorso,resoc,4.0,0.7601449275362319,0.13004830917874394,0.2859903381642512,0.09035196687370602
Coffee,resoc,0.0,0.5,0.07142857142857142,0.5714285714285714,0.03809523809523809
Coffee,resoc,1.0,0.5714285714285714,0.4468864468864469,0.7142857142857143,0.6071428571428571
Computers,resoc,1.0,0.456,0.022588235294117645,0.192,0.012
Computers,resoc,2.0,0.548,0.2831428165359516,0.4986666666666667,0.22133333333333333
CricketX,resoc,1.0,0.7282051282051282,0.1264957264957265,0.08927960927960928,0.26666666666666666
CricketX,resoc,2.0,0.541025641025641,0.11741443741443741,0.08,0.25641025641025644
CricketX,resoc,3.0,0.1564102564102564,0.07585880817602657,0.044491406029867564,0.335042735042735
CricketX,resoc,4.0,0.6641025641025641,0.1457061457061457,0.09997557997557999,0.36923076923076925
CricketX,resoc,5.0,0.7538461538461538,0.07257631257631257,0.05167277167277167,0.15726495726495726
CricketX,resoc,6.0,0.7,0.05128205128205128,0.04923076923076923,0.0547008547008547
CricketX,resoc,7.0,0.43846153846153846,0.03551092781862013,0.022177822177822173,0.11282051282051282
CricketX,resoc,8.0,0.6333333333333333,0.12862322862322864,0.09154253154253154,0.3162393162393162
CricketX,resoc,9.0,0.6205128205128205,0.19836163836163836,0.14258038258038258,0.358974358974359
CricketX,resoc,10.0,0.735897435897436,0.049106449106449096,0.04786324786324786,0.0505982905982906
CricketX,resoc,11.0,0.7692307692307693,0.013675213675213675,0.010256410256410256,0.020512820512820513
CricketX,resoc,12.0,0.8128205128205128,0.011721611721611723,0.010256410256410256,0.013675213675213675
CricketY,resoc,1.0,0.5,0.03480963480963482,0.027008547008547008,0.06837606837606837
CricketY,resoc,2.0,0.38461538461538464,0.05323451477297631,0.0350997150997151,0.15384615384615385
CricketY,resoc,3.0,0.5948717948717949,0.011721611721611722,0.006837606837606838,0.041025641025641026
CricketY,resoc,4.0,0.6102564102564103,0.044281644281644286,0.031159951159951158,0.09572649572649572
CricketY,resoc,5.0,0.7769230769230769,0.058575498575498576,0.056459096459096456,0.08888888888888888
CricketY,resoc,6.0,0.7205128205128205,0.06186406186406187,0.041416361416361416,0.12307692307692308
CricketY,resoc,7.0,0.8512820512820513,0.020512820512820513,0.020512820512820513,0.020512820512820513
CricketY,resoc,8.0,0.7307692307692307,0.1814896214896215,0.13606837606837607,0.29743589743589743
CricketY,resoc,9.0,0.8025641025641026,0.02735042735042735,0.041025641025641026,0.020512820512820513
CricketY,resoc,10.0,0.4307692307692308,0.03992987069910147,0.02369297369297369,0.15128205128205127
CricketY,resoc,11.0,0.7846153846153846,0.15335775335775337,0.16683760683760682,0.19145299145299144
CricketY,resoc,12.0,0.841025641025641,0.06769230769230769,0.06837606837606837,0.07521367521367521
CricketZ,resoc,1.0,0.9128205128205128,0.04786324786324786,0.08205128205128205,0.034188034188034185
CricketZ,resoc,2.0,0.7333333333333333,0.05206349206349207,0.052649572649572644,0.07658119658119657
CricketZ,resoc,3.0,0.782051282051282,0.013675213675213675,0.010256410256410256,0.020512820512820513
CricketZ,resoc,4.0,0.7589743589743589,0.011721611721611723,0.010256410256410256,0.013675213675213675
CricketZ,resoc,5.0,0.9102564102564102,0.18461538461538463,0.26666666666666666,0.15384615384615385
CricketZ,resoc,6.0,0.8025641025641026,0.11076923076923076,0.09230769230769231,0.1641025641025641
CricketZ,resoc,7.0,0.20512820512820512,0.06239128392974547,0.03672020287404903,0.24615384615384617
CricketZ,resoc,8.0,0.8743589743589744,0.020512820512820513,0.013675213675213675,0.041025641025641026
