dataset,model,label,accuracy,f1,recall,precision
ACSF1,deepsvdd,0.0,0.86,0.04571428571428572,0.032,0.08
ACSF1,deepsvdd,1.0,0.52,0.0,0.0,0.0
ACSF1,deepsvdd,2.0,0.06,0.035555555555555556,0.026666666666666665,0.05333333333333333
ACSF1,deepsvdd,3.0,0.16,0.0,0.0,0.0
ACSF1,deepsvdd,4.0,0.18,0.05052631578947368,0.05333333333333333,0.048
ACSF1,deepsvdd,5.0,0.37,0.04571428571428572,0.08,0.032
ACSF1,deepsvdd,6.0,0.28,0.07215686274509803,0.057777777777777775,0.1
ACSF1,deepsvdd,7.0,0.54,0.042666666666666665,0.064,0.032
ACSF1,deepsvdd,8.0,0.4,0.0,0.0,0.0
ACSF1,deepsvdd,9.0,0.05,0.035555555555555556,0.04,0.032
BME,deepsvdd,1.0,0.44666666666666666,0.10005458089668616,0.32,0.06
BME,deepsvdd,2.0,0.04666666666666667,0.08109161793372319,0.26666666666666666,0.04857142857142857
BME,deepsvdd,3.0,0.41333333333333333,0.036252723311546844,0.21333333333333335,0.02
Chinatown,deepsvdd,1.0,0.5889212827988338,0.02622001181424951,0.13994169096209913,0.014577259475218658
Chinatown,deepsvdd,2.0,0.30903790087463556,0.20786135370074207,0.6530612244897959,0.1282798833819242
Crop,deepsvdd,1.0,0.04797619047619048,0.01549601701392944,0.04047619047619048,0.009841269841269842
Crop,deepsvdd,2.0,0.4079761904761905,0.0032795340358365574,0.01904761904761905,0.0018452380952380953
Crop,deepsvdd,3.0,0.6618452380952381,0.0035098303828953992,0.022095238095238095,0.0019642857142857144
Crop,deepsvdd,4.0,0.8225,0.005135059871901977,0.029523809523809525,0.002857142857142857
Crop,deepsvdd,5.0,0.8760714285714286,0.005799522148040502,0.02857142857142857,0.0033134920634920635
Crop,deepsvdd,6.0,0.5972619047619048,0.007188887250806755,0.03444444444444445,0.004226190476190476
Crop,deepsvdd,7.0,0.10672619047619047,0.008726234566128418,0.03619047619047619,0.005119047619047619
Crop,deepsvdd,8.0,0.39875,0.0065927470403366,0.035238095238095235,0.00373015873015873
Crop,deepsvdd,9.0,0.5448214285714286,0.010673537251157772,0.040952380952380955,0.006309523809523809
Crop,deepsvdd,10.0,0.12636904761904763,0.013968755289832917,0.04127891156462585,0.009107142857142857
Crop,deepsvdd,11.0,0.7386309523809523,0.004765639589169,0.02857142857142857,0.0026785714285714286
Crop,deepsvdd,12.0,0.34773809523809524,0.008373576331117238,0.037671957671957676,0.004920634920634921
Crop,deepsvdd,13.0,0.44494047619047616,0.009208055364623253,0.03496598639455782,0.005575396825396825
Crop,deepsvdd,14.0,0.6927380952380953,0.008190541713761528,0.037142857142857144,0.004702380952380953
Crop,deepsvdd,15.0,0.14208333333333334,0.011033484738924808,0.03658119658119658,0.0069642857142857145
Crop,deepsvdd,16.0,0.593452380952381,0.011077207491183603,0.04047619047619048,0.006626984126984127
Crop,deepsvdd,17.0,0.04535714285714286,0.010977937272035687,0.03936507936507937,0.0066468253968253975
Crop,deepsvdd,18.0,0.07523809523809524,0.016035075935466294,0.0403265306122449,0.010714285714285714
Crop,deepsvdd,19.0,0.3339285714285714,0.0034972398316051576,0.02,0.0019642857142857144
Crop,deepsvdd,20.0,0.21571428571428572,0.005630022769341654,0.03238095238095238,0.0031547619047619046
Crop,deepsvdd,21.0,0.1261904761904762,0.009337267283308854,0.035238095238095235,0.005595238095238095
Crop,deepsvdd,22.0,0.5517857142857143,0.008769430579249242,0.035238095238095235,0.005178571428571428
Crop,deepsvdd,23.0,0.4570238095238095,0.005168149130997424,0.03190476190476191,0.002916666666666667
Crop,deepsvdd,24.0,0.6183333333333333,0.004674431175979162,0.024761904761904763,0.002619047619047619
EOGHorizontalSignal,deepsvdd,1.0,0.3839779005524862,0.04078713821628144,0.04019994738226783,0.047566429886871875
EOGHorizontalSignal,deepsvdd,2.0,0.9171270718232044,0.0,0.0,0.0
EOGHorizontalSignal,deepsvdd,3.0,0.6464088397790055,0.009821976672805403,0.022099447513812154,0.006314127861089187
EOGHorizontalSignal,deepsvdd,4.0,0.49171270718232046,0.03466580002166613,0.03126707546597049,0.06568446899938613
EOGHorizontalSignal,deepsvdd,5.0,0.6933701657458563,0.00803616273229533,0.04419889502762431,0.004419889502762431
EOGHorizontalSignal,deepsvdd,6.0,0.7044198895027625,0.006799830004249893,0.014732965009208102,0.004419889502762431
EOGHorizontalSignal,deepsvdd,7.0,0.32044198895027626,0.023081645181092698,0.022434287627657794,0.02725598526703499
EOGHorizontalSignal,deepsvdd,8.0,0.42265193370165743,0.06452050098458939,0.05619573796369376,0.08864333947206875
EOGHorizontalSignal,deepsvdd,9.0,0.4088397790055249,0.027624309392265192,0.04419889502762431,0.020090406830738324
EOGHorizontalSignal,deepsvdd,10.0,0.7320441988950276,0.008839779005524864,0.008839779005524863,0.008839779005524863
EOGHorizontalSignal,deepsvdd,11.0,0.30939226519337015,0.048748781280467994,0.0628579523607148,0.048987108655616944
EOGHorizontalSignal,deepsvdd,12.0,0.5,0.01534683855125844,0.050513022888713496,0.010435850214855739
EOGVerticalSignal,deepsvdd,1.0,0.6187845303867403,0.038920931738611296,0.056721915285451195,0.034306761378584585
EOGVerticalSignal,deepsvdd,2.0,0.585635359116022,0.07296325528369728,0.10313075506445672,0.0707182320441989
EOGVerticalSignal,deepsvdd,3.0,0.7071823204419889,0.028729281767955802,0.03830570902394107,0.027361220731386478
EOGVerticalSignal,deepsvdd,4.0,0.7762430939226519,0.047566429886871875,0.09576427255985266,0.04235727440147329
EOGVerticalSignal,deepsvdd,5.0,0.1878453038674033,0.03859459069078829,0.034957307885484686,0.04609313338595107
EOGVerticalSignal,deepsvdd,6.0,0.40331491712707185,0.01767955801104973,0.017679558011049725,0.017679558011049725
EOGVerticalSignal,deepsvdd,7.0,0.4972375690607735,0.038067381648792115,0.0343769183548189,0.05046040515653775
EOGVerticalSignal,deepsvdd,8.0,0.649171270718232,0.07508643452744851,0.07820663069281855,0.10779619398403929
EOGVerticalSignal,deepsvdd,9.0,0.6298342541436464,0.102705029776853,0.15469613259668508,0.0777594412953529
EOGVerticalSignal,deepsvdd,10.0,0.4558011049723757,0.019691174387306984,0.03164239075841286,0.022099447513812154
EOGVerticalSignal,deepsvdd,11.0,0.574585635359116,0.04861878453038675,0.0861878453038674,0.06408839779005526
EOGVerticalSignal,deepsvdd,12.0,0.11602209944751381,0.024229949806810386,0.039226519337016576,0.06077348066298342
EthanolLevel,deepsvdd,1.0,0.736,0.0064,0.016,0.004
EthanolLevel,deepsvdd,2.0,0.752,0.0,0.0,0.0
EthanolLevel,deepsvdd,3.0,0.664,0.2177720104456947,0.29212698412698423,0.19919999999999996
EthanolLevel,deepsvdd,4.0,0.664,0.08394206027890239,0.16693333333333335,0.06363809523809523
FreezerRegularTrain,deepsvdd,1.0,0.37964912280701757,0.061634264539918736,0.32,0.034736842105263156
FreezerRegularTrain,deepsvdd,2.0,0.5357894736842105,0.27641869316482176,0.5003508771929824,0.19656140350877194
FreezerSmallTrain,deepsvdd,1.0,0.43298245614035086,0.2588329279449001,0.4884210526315789,0.18105263157894738
FreezerSmallTrain,deepsvdd,2.0,0.47333333333333333,0.08992377055469764,0.42105263157894735,0.051929824561403506
Fungi,deepsvdd,1.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,2.0,0.05913978494623656,0.08105137395459976,0.05913978494623656,0.17204301075268819
Fungi,deepsvdd,3.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,4.0,0.10215053763440861,0.12609363521004477,0.10215053763440861,0.17204301075268819
Fungi,deepsvdd,5.0,0.043010752688172046,0.06157328805885682,0.03763440860215054,0.17204301075268819
Fungi,deepsvdd,6.0,0.05913978494623656,0.0700915969733174,0.05913978494623656,0.08602150537634409
Fungi,deepsvdd,7.0,0.05913978494623656,0.08105137395459976,0.05913978494623656,0.17204301075268819
Fungi,deepsvdd,8.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,9.0,0.10215053763440861,0.11318619128466328,0.10215053763440861,0.17204301075268819
Fungi,deepsvdd,10.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,11.0,0.03763440860215054,0.0570409982174688,0.03763440860215054,0.17204301075268819
Fungi,deepsvdd,12.0,0.06989247311827956,0.0771227289581016,0.07987711213517665,0.07455197132616488
Fungi,deepsvdd,13.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,14.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,15.0,0.05913978494623656,0.08105137395459976,0.05913978494623656,0.17204301075268819
Fungi,deepsvdd,16.0,0.05913978494623656,0.08676951846657316,0.05913978494623656,0.17204301075268819
Fungi,deepsvdd,17.0,0.03763440860215054,0.05236091631603553,0.03763440860215054,0.08602150537634409
Fungi,deepsvdd,18.0,0.08064516129032258,0.09472606246799796,0.08064516129032258,0.13978494623655913
GunPointAgeSpan,deepsvdd,1.0,0.34810126582278483,0.1411855639233466,0.5063291139240507,0.08544303797468354
GunPointAgeSpan,deepsvdd,2.0,0.5189873417721519,0.4499930854614681,0.4936708860759494,0.41455696202531644
