dataset,model,label,accuracy,f1,recall,precision
Adiac,deepsvdd,1.0,0.09974424552429667,0.005456095481670929,0.0029229082937522835,0.04092071611253197
Adiac,deepsvdd,2.0,0.09462915601023018,0.009929291409658493,0.005285592497868712,0.08184143222506395
Adiac,deepsvdd,3.0,0.20460358056265984,0.0,0.0,0.0
Adiac,deepsvdd,4.0,0.21739130434782608,0.0,0.0,0.0
Adiac,deepsvdd,5.0,0.289002557544757,0.035254770804642926,0.019983426633043002,0.1636828644501279
Adiac,deepsvdd,6.0,0.8107416879795396,0.10580928023383267,0.06956521739130435,0.24552429667519182
Adiac,deepsvdd,7.0,0.3989769820971867,0.00629549478654338,0.00372006510113927,0.020460358056265986
Adiac,deepsvdd,8.0,0.17647058823529413,0.03610915938281667,0.02084758094988274,0.17732310315430522
Adiac,deepsvdd,9.0,0.01278772378516624,0.02407100947795998,0.012958226768968456,0.18414322250639387
Adiac,deepsvdd,10.0,0.21739130434782608,0.0,0.0,0.0
Adiac,deepsvdd,11.0,0.30179028132992325,0.026988186578979417,0.014839380568280821,0.1636828644501279
Adiac,deepsvdd,12.0,0.17135549872122763,0.03843888922871923,0.02249327824775395,0.18414322250639387
Adiac,deepsvdd,13.0,0.09462915601023018,0.04365298683748638,0.02464985994397759,0.22506393861892582
Adiac,deepsvdd,14.0,0.9028132992327366,0.0,0.0,0.0
Adiac,deepsvdd,15.0,0.04859335038363171,0.034301188506092976,0.0185848252344416,0.24552429667519182
Adiac,deepsvdd,16.0,0.1534526854219949,0.0,0.0,0.0
Adiac,deepsvdd,17.0,0.0741687979539642,0.005115089514066497,0.0027280477408354645,0.04092071611253197
Adiac,deepsvdd,18.0,0.2864450127877238,0.0,0.0,0.0
Adiac,deepsvdd,19.0,0.30434782608695654,0.018742042271454037,0.010425039581049811,0.10230179028132992
Adiac,deepsvdd,20.0,0.29923273657289,0.00629549478654338,0.0034100596760443308,0.04092071611253197
Adiac,deepsvdd,21.0,0.0741687979539642,0.05313006703107501,0.029180367799293627,0.3273657289002558
Adiac,deepsvdd,22.0,0.42455242966751916,0.005845816587504567,0.0034100596760443308,0.020460358056265986
Adiac,deepsvdd,23.0,0.3350383631713555,0.006820119352088662,0.0040920716112531974,0.020460358056265986
Adiac,deepsvdd,24.0,0.010230179028132993,0.0,0.0,0.0
Adiac,deepsvdd,25.0,0.5959079283887468,0.04272317622701255,0.02873584216295214,0.09974424552429667
Adiac,deepsvdd,26.0,0.6112531969309463,0.023870417732310318,0.015004262574595056,0.061381074168797956
Adiac,deepsvdd,27.0,0.1636828644501279,0.00545609548167093,0.00314774739327169,0.020460358056265986
Adiac,deepsvdd,28.0,0.15089514066496162,0.005115089514066497,0.0027280477408354645,0.04092071611253197
Adiac,deepsvdd,29.0,0.03324808184143223,0.014442605686775987,0.008013640238704177,0.08184143222506395
Adiac,deepsvdd,30.0,0.391304347826087,0.00629549478654338,0.0034100596760443308,0.04092071611253197
Adiac,deepsvdd,31.0,0.41687979539641945,0.008184143222506393,0.004546746234725774,0.04092071611253197
Adiac,deepsvdd,32.0,0.06905370843989769,0.0,0.0,0.0
Adiac,deepsvdd,33.0,0.32225063938618925,0.0,0.0,0.0
Adiac,deepsvdd,34.0,0.0741687979539642,0.025615565919462412,0.013664596273291925,0.20460358056265984
Adiac,deepsvdd,35.0,0.23017902813299232,0.00545609548167093,0.00314774739327169,0.020460358056265986
Adiac,deepsvdd,36.0,0.5115089514066496,0.0,0.0,0.0
Adiac,deepsvdd,37.0,0.1432225063938619,0.010960906101571063,0.006138107416879795,0.061381074168797956
ArrowHead,deepsvdd,0.0,0.5885714285714285,0.17916861417613295,0.4114285714285714,0.13485714285714287
ArrowHead,deepsvdd,1.0,0.64,0.2003338781736951,0.3352380952380952,0.1527272727272727
ArrowHead,deepsvdd,2.0,0.6742857142857143,0.020317460317460317,0.09142857142857143,0.011428571428571429
Beef,deepsvdd,1.0,0.7333333333333333,0.32,0.4,0.26666666666666666
Beef,deepsvdd,2.0,0.6666666666666666,0.09696969696969696,0.10666666666666667,0.08888888888888888
Beef,deepsvdd,3.0,0.5333333333333333,0.2074074074074074,0.13333333333333333,0.4666666666666667
Beef,deepsvdd,4.0,0.43333333333333335,0.14358974358974358,0.13333333333333333,0.15555555555555553
Beef,deepsvdd,5.0,0.6666666666666666,0.18666666666666668,0.23333333333333334,0.15555555555555553
BeetleFly,deepsvdd,1.0,0.4,0.0,0.0,0.0
BeetleFly,deepsvdd,2.0,0.5,0.0,0.0,0.0
BirdChicken,deepsvdd,1.0,0.5,0.4,0.5333333333333333,0.32
BirdChicken,deepsvdd,2.0,0.5,0.17142857142857143,0.2,0.15
Car,deepsvdd,1.0,0.25,0.18095238095238095,0.13939393939393938,0.3333333333333333
Car,deepsvdd,2.0,0.48333333333333334,0.22222222222222224,0.18031746031746032,0.40888888888888886
Car,deepsvdd,3.0,0.6833333333333333,0.0,0.0,0.0
Car,deepsvdd,4.0,0.2833333333333333,0.33465231706717774,0.21355311355311357,0.9111111111111111
CBF,deepsvdd,1.0,0.1711111111111111,0.13186050596576912,0.10270243336910001,0.2054179894179894
